Project Name,Package Name,Architecture Smell,Cause of the Smell
jsoup,org.jsoup.internal,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ControllableInputStream; SimpleBufferedInput; SoftPool; StringUtil; ControllableInputStreamTest; ReaderTest; SoftPoolTest; StringUtilTest; SharedConstants; SimpleStreamReader]; [Functions]; [Normalizer]; [QuietAppendable; QuietAppendable.BaseAppendable; QuietAppendable.StringBuilderAppendable; QuietAppendableTest]; [QuietAppendable.Action]; [StringUtil.StringJoiner]; [ControllableInputStreamTest.CountingInputStream]. LCC (Lack of Component Cohesion) = 0.37
jsoup,org.jsoup.nodes,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 54
jsoup,org.jsoup.nodes,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsoup.helper; org.jsoup.parser; org.jsoup.select; org.jsoup.integration; org.jsoup.integration.servlets
jsoup,org.jsoup.nodes,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Attribute; Attributes; Attributes.Dataset; Attributes.DatasetIterator; Document; DocumentType; Element; Entities; EntitiesData; FormElement; LeafNode; Node; NodeIterator; NodeUtils; Printer; Printer.Pretty; PseudoTextElement; Range; Range.AttributeRange; TextNode; XmlDeclaration; AttributesTest; AttributeTest; BuildEntities; CommentTest; DataNodeTest; DocumentTest; DocumentTypeTest; ElementIT; ElementIT.TemplateMerger; ElementTest; EntitiesTest; FormElementTest; LeafNodeTest; NodeIteratorTest; NodeStreamTest; NodeTest; PrinterTest; TextNodeTest; CDataNode; Comment; DataNode; Document.OutputSettings; Entities.EscapeMode]; [Attributes.EntrySet]; [Document.Syntax]; [Document.QuirksMode]; [Element.TextAccumulator]; [Element.NodeList]; [Entities.CoreCharset]; [Printer.Outline]; [Range.Position]; [BuildEntities.CharacterRef]; [BuildEntities.ByCode]. LCC (Lack of Component Cohesion) = 0.2
jsoup,org.jsoup.nodes,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.parser; org.jsoup.helper.
jsoup,org.jsoup.nodes,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.select; org.jsoup.helper.
jsoup,org.jsoup.nodes,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.parser; org.jsoup.
jsoup,org.jsoup.nodes,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup; org.jsoup.select.
jsoup,org.jsoup.nodes,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.parser; org.jsoup; org.jsoup.select.
jsoup,org.jsoup.parser,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 47
jsoup,org.jsoup.parser,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jsoup.integration; org.jsoup.safety
jsoup,org.jsoup.parser,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.helper; org.jsoup.nodes.
jsoup,org.jsoup.parser,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup.
jsoup,org.jsoup.parser,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.nodes; org.jsoup; org.jsoup.select.
jsoup,org.jsoup.parser,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.jsoup.safety; org.jsoup.
